# host seconds after t0	host UTC at the newline	line
0.4000	2026-09-24T12:19:16.610Z	S0011127b01068855c3
1.2056	2026-09-24T12:19:17.416Z	S0011127b010a8855c7
14.8349	2026-09-24T12:19:31.045Z	Hf07e91cd0104000bb8
14.8349	2026-09-24T12:19:31.045Z	S0011110000000218c5
15.6282	2026-09-24T12:19:31.839Z	S001111000004044dc5
16.4351	2026-09-24T12:19:32.646Z	S00111100000806668a
17.2526	2026-09-24T12:19:33.463Z	S00111100000c087f4f
18.0391	2026-09-24T12:19:34.250Z	S0011110000100a9814
18.2224	2026-09-24T12:19:34.433Z	S001212000010f036e2
18.3559	2026-09-24T12:19:34.566Z	S00131300001177b141
19.1534	2026-09-24T12:19:35.364Z	S00131300001579ca06
19.8149	2026-09-24T12:19:36.025Z	S001414000018ce01e7
20.6294	2026-09-24T12:19:36.840Z	S00141400001cd01aac
20.8776	2026-09-24T12:19:37.088Z	S00151500001e1001d9
21.6746	2026-09-24T12:19:37.885Z	S001515000022121a9e
21.7198	2026-09-24T12:19:37.930Z	S001616000022465157
21.7198	2026-09-24T12:19:37.930Z	S011717000022486a1c
22.5332	2026-09-24T12:19:38.744Z	S0117170000264a9f1c
23.3430	2026-09-24T12:19:39.554Z	S01171700002a4cb7e1
24.1319	2026-09-24T12:19:40.343Z	S01171700002e4ed0a6
24.9595	2026-09-24T12:19:41.170Z	S01171700003250e96b
25.7500	2026-09-24T12:19:41.961Z	S011717000036530230
26.5714	2026-09-24T12:19:42.782Z	S01171700003a551af5
27.3801	2026-09-24T12:19:43.591Z	S01171700003e5733ba
28.1697	2026-09-24T12:19:44.380Z	S011717000042594c7f
28.9780	2026-09-24T12:19:45.189Z	S0117170000465b6544
29.7962	2026-09-24T12:19:46.007Z	S01171700004a5d7e09
30.6060	2026-09-24T12:19:46.817Z	S01171700004e5f96ce
31.4026	2026-09-24T12:19:47.613Z	S01171700005261af93
32.2101	2026-09-24T12:19:48.421Z	S01171700005663c858
33.0084	2026-09-24T12:19:49.219Z	S01171700005a65e11d
33.8367	2026-09-24T12:19:50.047Z	S01171700005e67f9e2
34.6473	2026-09-24T12:19:50.858Z	S0117170000626a12a7
