# host seconds after t0	host UTC at the newline	line
0.5101	2026-09-24T12:18:09.494Z	W0000000d00021de901
0.5101	2026-09-24T12:18:09.494Z	R0000000d00021de8ff
0.5101	2026-09-24T12:18:09.494Z	E00000708000001a5c8
0.5101	2026-09-24T12:18:09.494Z	M00001c2000ffff0000
0.5101	2026-09-24T12:18:09.494Z	F00207ebf0063020000
0.5584	2026-09-24T12:18:09.542Z	S011717ff00681fdb90
1.3557	2026-09-24T12:18:10.339Z	S011717ff006c1fdb94
1.3557	2026-09-24T12:18:10.339Z	W0000000e00021de8fd
1.3557	2026-09-24T12:18:10.339Z	R0000000e00021de8ff
1.3557	2026-09-24T12:18:10.339Z	E00000469000001089c
1.3557	2026-09-24T12:18:10.339Z	M000011a400ff760000
1.3557	2026-09-24T12:18:10.339Z	F0185b70000e3760000
14.7608	2026-09-24T12:18:23.744Z	H7deeef160104000bb8
14.7608	2026-09-24T12:18:23.744Z	S000000000000000004
14.7608	2026-09-24T12:18:23.744Z	S00010e02000002ef19
14.7818	2026-09-24T12:18:23.765Z	S00000e040000044dc9
14.7818	2026-09-24T12:18:23.765Z	S00010e0600000712b5
14.7818	2026-09-24T12:18:23.765Z	S00000e08000008b7c9
14.7818	2026-09-24T12:18:23.765Z	S00010e0a00000b2e72
14.7818	2026-09-24T12:18:23.765Z	S00000e0c00000d21c9
14.7818	2026-09-24T12:18:23.765Z	S00040e0e00000f56c9
14.7818	2026-09-24T12:18:23.765Z	S00000e110000118bc9
14.7818	2026-09-24T12:18:23.765Z	S00010e130000146aa0
14.7818	2026-09-24T12:18:23.765Z	S00000e15000015f5c9
14.8038	2026-09-24T12:18:23.787Z	S00010e1700001881d2
14.8038	2026-09-24T12:18:23.787Z	S00000e1900001a5fc9
14.8038	2026-09-24T12:18:23.787Z	S00010e1b00001c9de9
14.8038	2026-09-24T12:18:23.787Z	S00020e1d00001ec9c9
14.8038	2026-09-24T12:18:23.787Z	S00000e20000020fec9
14.8038	2026-09-24T12:18:23.787Z	S00010e22000023ddf9
14.8038	2026-09-24T12:18:23.787Z	S00000e2400002568c9
14.8038	2026-09-24T12:18:23.787Z	S001111250000279dc9
15.6028	2026-09-24T12:18:24.586Z	S00111125000429d2c9
16.4076	2026-09-24T12:18:25.391Z	S00111125000829d2cd
17.2122	2026-09-24T12:18:26.196Z	S00111125000c29d2d1
18.0161	2026-09-24T12:18:27.000Z	S00111125001029d2d5
18.2072	2026-09-24T12:18:27.191Z	S001212250011165f8e
18.2072	2026-09-24T12:18:27.191Z	S000012260011165fa0
18.2072	2026-09-24T12:18:27.191Z	S001112270011187857
19.0076	2026-09-24T12:18:27.991Z	S0011122700151aad57
19.8288	2026-09-24T12:18:28.812Z	S0011122700191aad5b
20.6337	2026-09-24T12:18:29.617Z	S00111227001d1aad5f
21.4291	2026-09-24T12:18:30.413Z	S0011122700211aad63
21.6164	2026-09-24T12:18:30.600Z	S00121227002207b86b
21.6164	2026-09-24T12:18:30.600Z	S00001228002207b87d
21.6164	2026-09-24T12:18:30.600Z	S0001122a00220aaa55
21.6400	2026-09-24T12:18:30.624Z	S0000122c00220c0634
21.6400	2026-09-24T12:18:30.624Z	S0001122e00220ec520
21.6400	2026-09-24T12:18:30.624Z	S0011122f0022107034
22.4438	2026-09-24T12:18:31.428Z	S0011122f002612a534
23.2417	2026-09-24T12:18:32.225Z	S0011122f002a12a538
24.0500	2026-09-24T12:18:33.034Z	S0011122f002e12a53c
24.8447	2026-09-24T12:18:33.828Z	S0011122f003212a540
25.0356	2026-09-24T12:18:34.019Z	S0012122f0032ff3966
25.0356	2026-09-24T12:18:34.019Z	S000012300032ff397b
25.0356	2026-09-24T12:18:34.019Z	S000112320033022b9f
25.0356	2026-09-24T12:18:34.019Z	S00001234003303872f
25.0356	2026-09-24T12:18:34.019Z	S00011236003306468d
25.0356	2026-09-24T12:18:34.019Z	S00001238003307f12f
25.0606	2026-09-24T12:18:34.044Z	S0011123900330a262f
25.8424	2026-09-24T12:18:34.826Z	S0011123900370c5b2f
26.6492	2026-09-24T12:18:35.633Z	S00111239003b0c5b33
27.4571	2026-09-24T12:18:36.441Z	S00111239003f0c5b37
28.2597	2026-09-24T12:18:37.243Z	S0011123900430c5b3b
28.4453	2026-09-24T12:18:37.429Z	S001212390043f8c853
28.4453	2026-09-24T12:18:37.429Z	S0000123a0043f8c865
28.4453	2026-09-24T12:18:37.429Z	S0001123c0043fbb9f5
28.4659	2026-09-24T12:18:37.450Z	S0011123c0043fd161c
29.2715	2026-09-24T12:18:38.255Z	S0011123c0047ff4b1c
30.0762	2026-09-24T12:18:39.060Z	S0011123c004bff4b20
30.8858	2026-09-24T12:18:39.870Z	S0011123c004fff4b24
31.6853	2026-09-24T12:18:40.669Z	S0011123c0053ff4b28
31.8767	2026-09-24T12:18:40.861Z	S0012123c0054eb2735
31.8767	2026-09-24T12:18:40.861Z	S0000123d0054eb2747
31.8767	2026-09-24T12:18:40.861Z	S0001123f0054ee19ce
31.8767	2026-09-24T12:18:40.861Z	S000012410054ef74fe
31.8767	2026-09-24T12:18:40.861Z	S001112420054f1a9fe
32.6852	2026-09-24T12:18:41.669Z	S001112420058f3defe
33.4756	2026-09-24T12:18:42.459Z	S00111242005cf3df02
34.2833	2026-09-24T12:18:43.267Z	S001112420060f3df06
