# host seconds after t0	host UTC at the newline	line
0.5938	2026-09-24T12:43:32.261Z	W0000001b00021de901
0.5938	2026-09-24T12:43:32.261Z	R0000001b00021de8ff
0.5938	2026-09-24T12:43:32.261Z	E000000000000000000
0.5938	2026-09-24T12:43:32.261Z	M000000000000000000
0.5938	2026-09-24T12:43:32.261Z	Fffffffff0000000000
0.6788	2026-09-24T12:43:32.346Z	S01171700009a4869b4
14.7185	2026-09-24T12:43:46.386Z	H7deeef160104000bb8
14.7185	2026-09-24T12:43:46.386Z	S000000000000000004
14.7185	2026-09-24T12:43:46.386Z	S0011110000000218c9
15.5086	2026-09-24T12:43:47.176Z	S001111000004044dc9
16.3163	2026-09-24T12:43:47.984Z	S001111000008044dcd
17.1184	2026-09-24T12:43:48.786Z	S00111100000c044dd1
17.9272	2026-09-24T12:43:49.595Z	S001111000010044dd5
18.1263	2026-09-24T12:43:49.794Z	S001212000010f035bb
18.2169	2026-09-24T12:43:49.885Z	S00131300001177b01a
19.0212	2026-09-24T12:43:50.689Z	S00131300001577b01e
19.7109	2026-09-24T12:43:51.379Z	S001414000018ce00c0
20.4983	2026-09-24T12:43:52.166Z	S00141400001cce00c4
20.7515	2026-09-24T12:43:52.419Z	S00151500001e1000b2
21.5569	2026-09-24T12:43:53.225Z	S0015150000221000b6
21.6230	2026-09-24T12:43:53.291Z	S001616000022465030
21.6230	2026-09-24T12:43:53.291Z	S011717000022465040
21.6230	2026-09-24T12:43:53.291Z	G020000000104000000
21.6230	2026-09-24T12:43:53.291Z	K000000610022465040
21.6230	2026-09-24T12:43:53.291Z	L000000000001000000
22.4207	2026-09-24T12:43:54.089Z	S0117170000264868f9
22.4659	2026-09-24T12:43:54.134Z	W0000000000021de923
22.4659	2026-09-24T12:43:54.134Z	R0000000000021de900
22.4659	2026-09-24T12:43:54.134Z	E000000000000000000
22.4659	2026-09-24T12:43:54.134Z	M000000000000000000
22.4659	2026-09-24T12:43:54.134Z	Fffffffff0000000000
23.2299	2026-09-24T12:43:54.898Z	S01171700002a4868fd
23.3221	2026-09-24T12:43:54.990Z	W0000000100021de91a
23.3221	2026-09-24T12:43:54.990Z	R0000000100021de8ff
23.3221	2026-09-24T12:43:54.990Z	E000000000000000000
23.3466	2026-09-24T12:43:55.014Z	M000000000000000000
23.3466	2026-09-24T12:43:55.014Z	Fffffffff0000000000
24.0316	2026-09-24T12:43:55.699Z	S01171700002e486901
24.2006	2026-09-24T12:43:55.868Z	W0000000200021de8fd
24.2006	2026-09-24T12:43:55.868Z	R0000000200021de8ff
24.2006	2026-09-24T12:43:55.868Z	E000000000000000000
24.2006	2026-09-24T12:43:55.868Z	M000000000000000000
24.2006	2026-09-24T12:43:55.868Z	Fffffffff0000000000
24.8296	2026-09-24T12:43:56.497Z	S011717000032486905
25.0545	2026-09-24T12:43:56.722Z	W0000000300021de901
25.0545	2026-09-24T12:43:56.722Z	R0000000300021de8ff
25.0545	2026-09-24T12:43:56.722Z	E000000000000000000
25.0545	2026-09-24T12:43:56.722Z	M000000000000000000
25.0545	2026-09-24T12:43:56.722Z	Fffffffff0000000000
25.6452	2026-09-24T12:43:57.313Z	S011717000036486909
25.9133	2026-09-24T12:43:57.581Z	W0000000400021de8fd
25.9133	2026-09-24T12:43:57.581Z	R0000000400021de8ff
25.9133	2026-09-24T12:43:57.581Z	E000000000000000000
25.9133	2026-09-24T12:43:57.581Z	M000000000000000000
25.9133	2026-09-24T12:43:57.581Z	Fffffffff0000000000
26.4330	2026-09-24T12:43:58.101Z	S01171700003a48690d
26.7767	2026-09-24T12:43:58.445Z	W0000000500021de901
26.7767	2026-09-24T12:43:58.445Z	R0000000500021de8ff
26.7767	2026-09-24T12:43:58.445Z	E000000000000000000
26.7767	2026-09-24T12:43:58.445Z	M000000000000000000
26.7767	2026-09-24T12:43:58.445Z	Fffffffff0000000000
27.2498	2026-09-24T12:43:58.918Z	S01171700003e486911
27.6161	2026-09-24T12:43:59.284Z	W0000000600021de8fd
27.6161	2026-09-24T12:43:59.284Z	R0000000600021de8ff
27.6161	2026-09-24T12:43:59.284Z	E000000000000000000
27.6400	2026-09-24T12:43:59.308Z	M000000000000000000
27.6400	2026-09-24T12:43:59.308Z	Fffffffff0000000000
28.0542	2026-09-24T12:43:59.722Z	S011717000042486915
28.4751	2026-09-24T12:44:00.143Z	W0000000700021de901
28.4751	2026-09-24T12:44:00.143Z	R0000000700021de8ff
28.4751	2026-09-24T12:44:00.143Z	E000000000000000000
28.4992	2026-09-24T12:44:00.167Z	M000000000000000000
28.4992	2026-09-24T12:44:00.167Z	Fffffffff0000000000
28.8502	2026-09-24T12:44:00.518Z	S011717000046486919
29.3413	2026-09-24T12:44:01.009Z	W0000000800021de8fd
29.3413	2026-09-24T12:44:01.009Z	R0000000800021de8ff
29.3413	2026-09-24T12:44:01.009Z	E000000000000000000
29.3413	2026-09-24T12:44:01.009Z	M000000000000000000
29.3413	2026-09-24T12:44:01.009Z	Fffffffff0000000000
29.6672	2026-09-24T12:44:01.335Z	S01171700004a48691d
30.1936	2026-09-24T12:44:01.861Z	W0000000900021de901
30.1936	2026-09-24T12:44:01.861Z	R0000000900021de8ff
30.1936	2026-09-24T12:44:01.861Z	E000000000000000000
30.2166	2026-09-24T12:44:01.885Z	M000000000000000000
30.2166	2026-09-24T12:44:01.885Z	Fffffffff0000000000
30.4681	2026-09-24T12:44:02.136Z	S01171700004e486921
31.0739	2026-09-24T12:44:02.742Z	W0000000a00021de8fd
31.0739	2026-09-24T12:44:02.742Z	R0000000a00021de8ff
31.0739	2026-09-24T12:44:02.742Z	E000000000000000000
31.0739	2026-09-24T12:44:02.742Z	M000000000000000000
31.0739	2026-09-24T12:44:02.742Z	Fffffffff0000000000
31.2875	2026-09-24T12:44:02.955Z	S011717000052486925
31.9170	2026-09-24T12:44:03.585Z	W0000000b00021de901
31.9170	2026-09-24T12:44:03.585Z	R0000000b00021de8ff
31.9170	2026-09-24T12:44:03.585Z	E000000000000000000
31.9170	2026-09-24T12:44:03.585Z	M000000000000000000
31.9170	2026-09-24T12:44:03.585Z	Fffffffff0000000000
32.0824	2026-09-24T12:44:03.750Z	S011717000056486929
32.7895	2026-09-24T12:44:04.457Z	W0000000c00021de8fd
32.7895	2026-09-24T12:44:04.457Z	R0000000c00021de8ff
32.7895	2026-09-24T12:44:04.457Z	E000000000000000000
32.7895	2026-09-24T12:44:04.457Z	M000000000000000000
32.7895	2026-09-24T12:44:04.457Z	Fffffffff0000000000
32.8780	2026-09-24T12:44:04.546Z	S01171700005a48692d
33.6488	2026-09-24T12:44:05.317Z	W0000000d00021de901
