# host seconds after t0	host UTC at the newline	line
0.4476	2026-09-24T11:53:41.762Z	S01171700012dd0bf64
0.7354	2026-09-24T11:53:42.050Z	W0000004000021de8fd
0.7354	2026-09-24T11:53:42.050Z	R0000004000021de8ff
0.7354	2026-09-24T11:53:42.050Z	E000000000000000000
0.7354	2026-09-24T11:53:42.050Z	M000000000000000000
0.7354	2026-09-24T11:53:42.050Z	Fffffffff0000000000
1.2645	2026-09-24T11:53:42.579Z	S011717000131d0bf68
14.5963	2026-09-24T11:53:55.910Z	H7deeef160102000bb8
14.5963	2026-09-24T11:53:55.910Z	S000000000000000004
14.5963	2026-09-24T11:53:55.910Z	S0011110000000218c9
15.4038	2026-09-24T11:53:56.718Z	S001111000004044dc9
16.2178	2026-09-24T11:53:57.532Z	S001111000008044dcd
16.2888	2026-09-24T11:53:57.603Z	S001212000008788b15
16.4078	2026-09-24T11:53:57.722Z	S001313000009000573
17.2007	2026-09-24T11:53:58.515Z	S00131300000d000577
17.8725	2026-09-24T11:53:59.187Z	S00141400001056561b
18.6810	2026-09-24T11:53:59.995Z	S00141400001456561f
18.9391	2026-09-24T11:54:00.253Z	S00151500001598560d
19.7373	2026-09-24T11:54:01.051Z	S001515000019985611
19.7827	2026-09-24T11:54:01.097Z	S001616000019cea58b
19.7827	2026-09-24T11:54:01.097Z	S011717000019cea59b
19.7827	2026-09-24T11:54:01.097Z	G020000000102000000
19.8069	2026-09-24T11:54:01.121Z	K000000610019cea59b
19.8069	2026-09-24T11:54:01.121Z	L000000000001000000
20.5884	2026-09-24T11:54:01.902Z	S01171700001dd0be54
20.6594	2026-09-24T11:54:01.973Z	W0000000000021de8fd
20.6594	2026-09-24T11:54:01.973Z	R0000000000021de921
20.6594	2026-09-24T11:54:01.973Z	E000000000000000000
20.6594	2026-09-24T11:54:01.973Z	M000000000000000000
20.6594	2026-09-24T11:54:01.973Z	Fffffffff0000000000
21.3914	2026-09-24T11:54:02.705Z	S011717000021d0be58
21.5067	2026-09-24T11:54:02.821Z	W0000000100021de923
21.5067	2026-09-24T11:54:02.821Z	R0000000100021de8ff
21.5067	2026-09-24T11:54:02.821Z	E000000000000000000
21.5067	2026-09-24T11:54:02.821Z	M000000000000000000
21.5067	2026-09-24T11:54:02.821Z	Fffffffff0000000000
22.2073	2026-09-24T11:54:03.521Z	S011717000025d0be5c
22.3678	2026-09-24T11:54:03.682Z	W0000000200021de922
22.3678	2026-09-24T11:54:03.682Z	R0000000200021de900
22.3678	2026-09-24T11:54:03.682Z	E000000000000000000
22.3678	2026-09-24T11:54:03.682Z	M000000000000000000
22.3678	2026-09-24T11:54:03.682Z	Fffffffff0000000000
23.0062	2026-09-24T11:54:04.320Z	S011717000029d0be60
23.2224	2026-09-24T11:54:04.536Z	W0000000300021de922
23.2224	2026-09-24T11:54:04.536Z	R0000000300021de900
23.2224	2026-09-24T11:54:04.536Z	E000000000000000000
23.2469	2026-09-24T11:54:04.561Z	M000000000000000000
23.2469	2026-09-24T11:54:04.561Z	Fffffffff0000000000
23.8236	2026-09-24T11:54:05.137Z	S01171700002dd0be64
24.0813	2026-09-24T11:54:05.395Z	W0000000400021de910
24.0813	2026-09-24T11:54:05.395Z	R0000000400021de8ff
24.0813	2026-09-24T11:54:05.395Z	E000000000000000000
24.1061	2026-09-24T11:54:05.420Z	M000000000000000000
24.1061	2026-09-24T11:54:05.420Z	Fffffffff0000000000
24.6353	2026-09-24T11:54:05.949Z	S011717000031d0be68
24.9493	2026-09-24T11:54:06.263Z	W0000000500021de901
24.9493	2026-09-24T11:54:06.263Z	R0000000500021de8ff
24.9493	2026-09-24T11:54:06.263Z	E000000000000000000
24.9493	2026-09-24T11:54:06.263Z	M000000000000000000
24.9493	2026-09-24T11:54:06.263Z	Fffffffff0000000000
25.4415	2026-09-24T11:54:06.755Z	S011717000035d0be6c
25.8145	2026-09-24T11:54:07.128Z	W0000000600021de8fd
25.8145	2026-09-24T11:54:07.128Z	R0000000600021de8ff
25.8145	2026-09-24T11:54:07.128Z	E000000000000000000
25.8145	2026-09-24T11:54:07.128Z	M000000000000000000
25.8145	2026-09-24T11:54:07.128Z	Fffffffff0000000000
26.2289	2026-09-24T11:54:07.543Z	S011717000039d0be70
26.6596	2026-09-24T11:54:07.973Z	W0000000700021de901
26.6596	2026-09-24T11:54:07.973Z	R0000000700021de8ff
26.6596	2026-09-24T11:54:07.973Z	E000000000000000000
26.6596	2026-09-24T11:54:07.973Z	M000000000000000000
26.6596	2026-09-24T11:54:07.973Z	Fffffffff0000000000
27.0384	2026-09-24T11:54:08.352Z	S01171700003dd0be74
27.5156	2026-09-24T11:54:08.829Z	W0000000800021de8fd
27.5156	2026-09-24T11:54:08.829Z	R0000000800021de8ff
27.5156	2026-09-24T11:54:08.829Z	E000000000000000000
27.5380	2026-09-24T11:54:08.852Z	M000000000000000000
