# host seconds after t0	host UTC at the newline	line
0.1683	2026-09-24T12:17:34.039Z	0eff007ec294e2
0.1683	2026-09-24T12:17:34.039Z	S00000eff007ec413c9
0.1683	2026-09-24T12:17:34.039Z	S00030eff007ec648c9
0.1683	2026-09-24T12:17:34.039Z	S00000eff007ec87dc9
0.1683	2026-09-24T12:17:34.039Z	S00010eff007ecae63c
0.1683	2026-09-24T12:17:34.039Z	S00000eff007ecce7c9
0.1683	2026-09-24T12:17:34.039Z	S00010eff007ecf8516
0.1683	2026-09-24T12:17:34.039Z	S00000eff007ed151c9
0.1683	2026-09-24T12:17:34.039Z	S00010eff007ed423f0
0.1888	2026-09-24T12:17:34.060Z	S00000eff007ed5bbc9
0.1888	2026-09-24T12:17:34.060Z	S00010eff007ed8c2c6
0.1888	2026-09-24T12:17:34.060Z	S00000eff007eda25c9
0.1888	2026-09-24T12:17:34.060Z	S00010eff007edc750a
0.1888	2026-09-24T12:17:34.060Z	S00000eff007ede8fc9
0.1888	2026-09-24T12:17:34.060Z	S00010eff007ee11401
0.1888	2026-09-24T12:17:34.060Z	S00000eff007ee2f9c9
0.1888	2026-09-24T12:17:34.060Z	S00010eff007ee5b319
0.1888	2026-09-24T12:17:34.060Z	S00000eff007ee763c9
0.1888	2026-09-24T12:17:34.060Z	S00010eff007eea51f3
0.1888	2026-09-24T12:17:34.060Z	S00000eff007eebcdc9
0.1888	2026-09-24T12:17:34.060Z	S00010eff007eee047d
0.1888	2026-09-24T12:17:34.060Z	S00000eff007ef037c9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007ef2a353
0.2090	2026-09-24T12:17:34.080Z	S00000eff007ef4a1c9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007ef74265
0.2090	2026-09-24T12:17:34.080Z	S00000eff007ef90bc9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007efbe13f
0.2090	2026-09-24T12:17:34.080Z	S00000eff007efd75c9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007f008019
0.2090	2026-09-24T12:17:34.080Z	S00000eff007f01dfc9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007f0432b7
0.2090	2026-09-24T12:17:34.080Z	S00000eff007f0649c9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007f08d1b2
0.2090	2026-09-24T12:17:34.080Z	S00000eff007f0ab3c9
0.2090	2026-09-24T12:17:34.080Z	S00010eff007f0d7108
0.2292	2026-09-24T12:17:34.100Z	S00000eff007f0f1dc9
0.2292	2026-09-24T12:17:34.100Z	S00010eff007f120fe2
0.2292	2026-09-24T12:17:34.100Z	S00000eff007f1387c9
0.2292	2026-09-24T12:17:34.100Z	S00010eff007f15c22a
0.2292	2026-09-24T12:17:34.100Z	S00000eff007f17f1c9
0.2292	2026-09-24T12:17:34.100Z	S00010eff007f1a6104
0.2292	2026-09-24T12:17:34.100Z	S00000eff007f1c5bc9
0.2292	2026-09-24T12:17:34.100Z	S00010eff007f1f004b
0.2292	2026-09-24T12:17:34.100Z	S00000eff007f20c5c9
0.2292	2026-09-24T12:17:34.100Z	S00010eff007f239f46
0.2496	2026-09-24T12:17:34.121Z	S00000eff007f252fc9
0.2496	2026-09-24T12:17:34.121Z	S00010eff007f283e1c
0.2496	2026-09-24T12:17:34.121Z	S00000eff007f2999c9
0.2496	2026-09-24T12:17:34.121Z	S00010eff007f2bf085
0.2496	2026-09-24T12:17:34.121Z	S00000eff007f2e03c9
0.2496	2026-09-24T12:17:34.121Z	S00010eff007f308f5f
0.2496	2026-09-24T12:17:34.121Z	S00040eff007f326dc9
0.2496	2026-09-24T12:17:34.121Z	S00000eff007f34a2c9
0.2496	2026-09-24T12:17:34.121Z	S00010eff007f370799
0.2496	2026-09-24T12:17:34.121Z	S00000eff007f390cc9
0.2496	2026-09-24T12:17:34.121Z	S00010eff007f3ba673
0.2496	2026-09-24T12:17:34.121Z	S00000eff007f3d76c9
0.2702	2026-09-24T12:17:34.141Z	S00010eff007f40454d
0.2702	2026-09-24T12:17:34.141Z	S00000eff007f41e0c9
0.2702	2026-09-24T12:17:34.141Z	S00010eff007f44e427
0.2702	2026-09-24T12:17:34.141Z	S00000eff007f464ac9
0.2702	2026-09-24T12:17:34.141Z	S00010eff007f4896ad
0.2702	2026-09-24T12:17:34.141Z	S00000eff007f4ab4c9
0.2702	2026-09-24T12:17:34.141Z	S00010eff007f4d35c2
0.2702	2026-09-24T12:17:34.141Z	S00000eff007f4f1ec9
0.2702	2026-09-24T12:17:34.141Z	S00010eff007f51d461
