# host seconds after t0	host UTC at the newline	line
0.2251	2026-09-24T12:19:51.654Z	S0117170000666c2b6c
1.0379	2026-09-24T12:19:52.467Z	S01171700006a6e4431
14.6472	2026-09-24T12:20:06.076Z	Hf07e91cd0104000bb8
14.6472	2026-09-24T12:20:06.076Z	S0011110000000218c5
15.4707	2026-09-24T12:20:06.899Z	S001111000004044dc5
16.2638	2026-09-24T12:20:07.693Z	S00111100000806668a
17.0806	2026-09-24T12:20:08.509Z	S00111100000c087f4f
17.8812	2026-09-24T12:20:09.310Z	S0011110000100a9814
18.0636	2026-09-24T12:20:09.492Z	S001212000010f036bd
18.1808	2026-09-24T12:20:09.610Z	S00131300001177b11c
18.9785	2026-09-24T12:20:10.407Z	S00131300001579c9e1
19.6635	2026-09-24T12:20:11.092Z	S001414000018ce01c2
20.4504	2026-09-24T12:20:11.879Z	S00141400001cd01a87
20.7171	2026-09-24T12:20:12.146Z	S00151500001e1001b4
21.5048	2026-09-24T12:20:12.934Z	S001515000022121a79
21.5476	2026-09-24T12:20:12.976Z	S001616000022465132
21.5476	2026-09-24T12:20:12.976Z	S0117170000224869f7
22.3581	2026-09-24T12:20:13.787Z	S0117170000264a9ef7
23.1631	2026-09-24T12:20:14.592Z	S01171700002a4cb7bc
23.9811	2026-09-24T12:20:15.410Z	S01171700002e4ed081
24.7802	2026-09-24T12:20:16.209Z	S01171700003250e946
25.6068	2026-09-24T12:20:17.036Z	S01171700003653020b
26.3976	2026-09-24T12:20:17.827Z	S01171700003a551ad0
27.2069	2026-09-24T12:20:18.636Z	S01171700003e573395
28.0262	2026-09-24T12:20:19.455Z	S011717000042594c5a
28.8102	2026-09-24T12:20:20.239Z	S0117170000465b651f
29.6315	2026-09-24T12:20:21.060Z	S01171700004a5d7de4
30.4342	2026-09-24T12:20:21.863Z	S01171700004e5f96a9
31.2490	2026-09-24T12:20:22.678Z	S01171700005261af6e
32.0406	2026-09-24T12:20:23.470Z	S01171700005663c833
32.8644	2026-09-24T12:20:24.293Z	S01171700005a65e0f8
33.6555	2026-09-24T12:20:25.085Z	S01171700005e67f9bd
34.4816	2026-09-24T12:20:25.911Z	S0117170000626a1282
