# host seconds after t0	host UTC at the newline	line
0.4709	2026-09-24T11:52:26.848Z	S01171700017dd0bfb4
0.9823	2026-09-24T11:52:27.360Z	W0000005300021de901
0.9823	2026-09-24T11:52:27.360Z	R0000005300021de8ff
0.9823	2026-09-24T11:52:27.360Z	E000000000000000000
0.9823	2026-09-24T11:52:27.360Z	M000000000000000000
0.9823	2026-09-24T11:52:27.360Z	Fffffffff0000000000
1.2884	2026-09-24T11:52:27.666Z	S011717000181d0bfb8
14.6363	2026-09-24T11:52:41.013Z	H7deeef160102000bb8
14.6363	2026-09-24T11:52:41.013Z	S000000000000000004
14.6363	2026-09-24T11:52:41.013Z	S0011110000000218c9
15.4385	2026-09-24T11:52:41.815Z	S001111000004044dc9
16.2459	2026-09-24T11:52:42.623Z	S001111000008044dcd
16.3337	2026-09-24T11:52:42.710Z	S001212000008788b15
16.4440	2026-09-24T11:52:42.821Z	S001313000009000573
17.2414	2026-09-24T11:52:43.618Z	S00131300000d000577
17.9154	2026-09-24T11:52:44.292Z	S00141400001056561b
18.7186	2026-09-24T11:52:45.095Z	S00141400001456561f
18.9790	2026-09-24T11:52:45.356Z	S00151500001598560d
19.7951	2026-09-24T11:52:46.172Z	S001515000019985611
19.8379	2026-09-24T11:52:46.214Z	S001616000019cea58b
19.8379	2026-09-24T11:52:46.214Z	S011717000019cea59b
19.8379	2026-09-24T11:52:46.214Z	G020000000102000000
19.8379	2026-09-24T11:52:46.214Z	K000000610019cea59b
19.8379	2026-09-24T11:52:46.214Z	L000000000001000000
20.6421	2026-09-24T11:52:47.019Z	S01171700001dd0be54
20.6835	2026-09-24T11:52:47.060Z	W0000000000021de8fd
20.6835	2026-09-24T11:52:47.060Z	R0000000000021de921
20.6835	2026-09-24T11:52:47.060Z	E000000000000000000
20.7040	2026-09-24T11:52:47.081Z	M000000000000000000
20.7040	2026-09-24T11:52:47.081Z	Fffffffff0000000000
21.4336	2026-09-24T11:52:47.810Z	S011717000021d0be58
21.5453	2026-09-24T11:52:47.922Z	W0000000100021de923
21.5453	2026-09-24T11:52:47.922Z	R0000000100021de8ff
21.5453	2026-09-24T11:52:47.922Z	E000000000000000000
21.5453	2026-09-24T11:52:47.922Z	M000000000000000000
21.5453	2026-09-24T11:52:47.922Z	Fffffffff0000000000
22.2522	2026-09-24T11:52:48.629Z	S011717000025d0be5c
22.4022	2026-09-24T11:52:48.779Z	W0000000200021de922
22.4022	2026-09-24T11:52:48.779Z	R0000000200021de900
22.4022	2026-09-24T11:52:48.779Z	E000000000000000000
22.4224	2026-09-24T11:52:48.799Z	M000000000000000000
